Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Açaí-Guaraná_prev,Citrus_prev,Maçã-Verde_prev,Original_269_prev,Original_473_prev,Pêssego_prev,Tangerina_prev,Zero_prev,MIN,Estação_Ana Rosa,Estação_Barra Funda,Estação_Brigadeiro,Estação_Brooklin,Estação_Brás,Estação_Butantã,Estação_Campo Belo,Estação_Consolação,Estação_Eucaliptos,Estação_Faria Lima,Estação_Fradique Coutinho,Estação_Higienópolis-Mackenzie,Estação_Hospital São Paulo,Estação_Luz,Estação_Moema,Estação_Paraíso,Estação_Pinheiros,Estação_República,Estação_São Joaquim,Estação_São Judas,Estação_Sé,Estação_Tamanduateí,Estação_Tatuapé,Estação_Trianon-Masp,Estação_Vila Mariana,TARGET
48,50,19,7,38,43,10,29,8.0,80.0,4.0,41.0,38.0,25.0,33.0,10.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
40,45,13,3,35,42,7,26,4.0,41.0,-1.0,40.0,32.0,23.0,32.0,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
27,42,5,43,29,36,3,23,-1.0,30.0,83.0,39.0,14.0,20.0,23.0,-3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
16,35,65,42,23,35,43,21,63.0,34.5,41.5,31.5,10.5,20.0,20.0,95.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
8,27,58,37,17,35,40,17,37.0,35.0,32.0,19.0,0.0,13.0,11.0,51.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
86,17,51,35,15,34,38,14,36.0,33.0,33.0,7.0,164.0,11.0,13.0,44.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
75,7,43,30,13,33,35,8,32.0,32.0,25.0,-3.0,64.0,2.0,11.0,35.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
68,65,36,26,11,32,32,4,29.0,31.0,22.0,123.0,61.0,0.0,9.0,29.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
55,55,27,25,6,28,29,43,26.0,24.0,24.0,45.0,42.0,82.0,1.0,18.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
48,49,21,23,43,28,23,38,17.0,28.0,21.0,43.0,41.0,33.0,80.0,15.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
37,46,16,21,38,22,21,33,19.0,16.0,19.0,43.0,26.0,28.0,33.0,11.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
25,42,12,19,33,18,15,31,9.0,14.0,17.0,38.0,13.0,29.0,28.0,8.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
13,35,7,13,27,17,9,29,3.0,16.0,7.0,28.0,1.0,27.0,21.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
6,32,65,12,24,13,4,26,-1.0,9.0,11.0,29.0,-1.0,23.0,21.0,123.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,28,57,12,22,8,43,24,82.0,3.0,12.0,24.0,166.0,22.0,20.0,49.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
76,20,51,9,17,8,41,22,39.0,8.0,6.0,12.0,66.0,20.0,12.0,45.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
65,10,47,7,12,5,37,16,33.0,2.0,5.0,0.0,54.0,10.0,7.0,43.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
55,7,38,6,6,43,35,11,33.0,81.0,5.0,4.0,45.0,6.0,0.0,29.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
42,65,32,43,43,39,30,8,25.0,35.0,80.0,123.0,29.0,5.0,80.0,26.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
33,63,24,41,40,33,24,6,18.0,27.0,39.0,61.0,24.0,4.0,37.0,16.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
21,59,14,41,36,27,21,43,18.0,21.0,41.0,55.0,9.0,80.0,32.0,4.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
14,50,7,40,33,24,17,37,13.0,21.0,39.0,41.0,7.0,31.0,30.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
4,42,65,34,31,19,14,35,11.0,14.0,28.0,34.0,-6.0,33.0,29.0,123.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,33,57,32,28,13,8,32,2.0,7.0,30.0,24.0,168.0,29.0,25.0,49.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
74,24,53,26,25,13,5,30,2.0,13.0,20.0,15.0,62.0,28.0,22.0,49.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
63,21,45,23,21,13,43,25,81.0,13.0,20.0,18.0,52.0,20.0,17.0,37.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
55,12,35,20,17,7,37,23,31.0,1.0,17.0,3.0,47.0,21.0,13.0,25.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
45,8,27,16,12,7,33,19,29.0,7.0,12.0,4.0,35.0,15.0,7.0,19.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
35,65,18,16,9,5,31,14,29.0,3.0,16.0,122.0,25.0,9.0,6.0,9.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
24,57,9,14,5,43,26,11,21.0,81.0,12.0,49.0,13.0,8.0,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
14,51,65,12,43,43,20,8,14.0,43.0,10.0,45.0,4.0,5.0,81.0,121.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
4,43,59,6,40,43,15,6,10.0,43.0,0.0,35.0,-6.0,4.0,37.0,53.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,37,50,43,38,41,12,43,9.0,39.0,80.0,31.0,168.0,80.0,36.0,41.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
74,27,41,42,34,38,7,38,2.0,35.0,41.0,17.0,62.0,33.0,30.0,32.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
61,22,32,42,32,32,1,34,-5.0,26.0,42.0,17.0,48.0,30.0,30.0,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
52,19,27,39,29,31,43,31,85.0,30.0,36.0,16.0,43.0,28.0,26.0,22.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
41,10,20,35,26,31,39,28,35.0,31.0,31.0,1.0,30.0,25.0,23.0,13.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
31,8,10,32,23,30,34,23,29.0,29.0,29.0,6.0,21.0,18.0,20.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
19,65,2,30,17,30,29,19,24.0,30.0,28.0,122.0,7.0,15.0,11.0,-6.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
12,63,65,29,14,27,27,15,25.0,24.0,28.0,61.0,5.0,11.0,11.0,128.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
86,55,60,23,8,27,22,10,17.0,27.0,17.0,47.0,160.0,5.0,2.0,55.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
79,53,52,17,5,22,20,6,18.0,17.0,11.0,51.0,72.0,2.0,2.0,44.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
72,49,48,13,43,21,16,43,12.0,20.0,9.0,45.0,65.0,80.0,81.0,44.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
64,46,39,7,37,16,12,38,8.0,11.0,1.0,43.0,56.0,33.0,31.0,30.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
52,44,34,6,34,11,6,33,0.0,6.0,5.0,42.0,40.0,28.0,31.0,29.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
44,37,30,43,30,5,43,28,80.0,-1.0,80.0,30.0,36.0,23.0,26.0,26.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
35,27,22,39,28,43,41,26,39.0,81.0,35.0,17.0,26.0,24.0,26.0,14.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
28,24,15,35,22,40,38,24,35.0,37.0,31.0,21.0,21.0,22.0,16.0,8.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
15,20,9,29,18,40,32,20,26.0,40.0,23.0,16.0,2.0,16.0,14.0,3.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
7,13,65,29,13,37,30,16,28.0,34.0,29.0,6.0,-1.0,12.0,8.0,121.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,10,60,26,9,34,27,11,24.0,31.0,23.0,7.0,165.0,6.0,5.0,55.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
77,7,50,26,5,31,24,8,21.0,28.0,26.0,4.0,68.0,5.0,1.0,40.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
65,65,40,25,43,30,18,6,12.0,29.0,24.0,123.0,53.0,4.0,81.0,30.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
54,62,30,20,37,25,16,43,14.0,20.0,15.0,59.0,43.0,80.0,31.0,20.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
44,58,22,14,34,23,10,37,4.0,21.0,8.0,54.0,34.0,31.0,31.0,14.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
33,56,18,10,32,18,8,32,6.0,13.0,6.0,54.0,22.0,27.0,30.0,14.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
25,47,12,5,29,18,3,29,-2.0,18.0,0.0,38.0,17.0,26.0,26.0,6.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
14,43,4,43,23,12,43,23,83.0,6.0,81.0,39.0,3.0,17.0,17.0,-4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
3,41,65,39,19,12,40,17,37.0,12.0,35.0,39.0,-8.0,11.0,15.0,126.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
86,39,56,37,16,9,36,15,32.0,6.0,35.0,37.0,169.0,13.0,13.0,47.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
78,31,47,32,11,9,34,12,32.0,9.0,27.0,23.0,70.0,9.0,6.0,38.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NORMAL
68,24,40,32,6,8,28,9,22.0,7.0,32.0,17.0,58.0,6.0,1.0,33.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
60,20,33,32,43,7,26,3,24.0,6.0,32.0,16.0,52.0,-3.0,80.0,26.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
47,18,23,31,41,3,22,43,20.0,1.0,30.5,17.0,40.5,63.0,40.0,18.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
40,8,14,30,37,43,17,38,12.0,83.0,29.0,-2.0,33.0,33.0,33.0,5.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,REABASTECER
