Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,row
41,32,Consolação,-23.5581,-46.6606,39,112646,61,22,43,NORMAL,28,2018-12-02,13,2492
8,32,Brás,-23.5451,-46.6162,33,74004,8,86,12,NORMAL,25,2019-12-19,50,5029
39,38,Brás,-23.5451,-46.6162,12,74081,54,23,4,NORMAL,39,2018-06-08,31,4478
43,43,Barra Funda,-23.5542,-46.6707,43,147341,65,86,43,NORMAL,43,2018-01-01,65,5041
43,13,Consolação,-23.5581,-46.6606,36,113749,54,46,38,NORMAL,13,2019-01-15,55,2535
17,30,Barra Funda,-23.5542,-46.6707,27,147187,4,86,24,REABASTECER,19,2018-03-19,51,5119
21,15,Brás,-23.5451,-46.6162,11,71329,18,37,37,NORMAL,43,2018-09-21,19,4581
27,17,Brás,-23.5451,-46.6162,31,72781,34,39,43,REABASTECER,5,2019-05-07,52,4807
27,36,Barra Funda,-23.5542,-46.6707,15,150635,27,46,27,NORMAL,33,2018-11-23,32,5363
25,43,Barra Funda,-23.5542,-46.6707,40,148273,48,23,32,NORMAL,12,2019-01-28,18,5428
32,42,Brás,-23.5451,-46.6162,37,72136,55,48,8,NORMAL,30,2019-09-17,56,4937
10,24,Brás,-23.5451,-46.6162,17,71527,18,75,27,NORMAL,7,2019-09-23,19,4943
25,36,Barra Funda,-23.5542,-46.6707,24,148596,51,59,7,NORMAL,20,2019-06-27,27,5577
23,43,Brás,-23.5451,-46.6162,43,70669,9,86,26,REABASTECER,33,2019-12-28,57,5038
9,23,Barra Funda,-23.5542,-46.6707,43,150526,23,79,41,NORMAL,29,2019-09-06,28,5646
7,11,Barra Funda,-23.5542,-46.6707,33,147339,28,17,25,NORMAL,20,2019-10-10,65,5680
29,11,Barra Funda,-23.5542,-46.6707,37,148681,62,27,13,REABASTECER,6,2019-10-25,25,5695
43,7,Barra Funda,-23.5542,-46.6707,30,149050,33,69,16,NORMAL,13,2019-11-24,65,5724
21,15,Barra Funda,-23.5542,-46.6707,19,147026,35,24,5,REABASTECER,7,2018-07-01,39,5221
40,35,Barra Funda,-23.5542,-46.6707,21,150341,14,58,32,NORMAL,16,2018-09-08,41,5288
15,9,Barra Funda,-23.5542,-46.6707,38,147683,55,14,4,REABASTECER,10,2018-11-17,4,5357
7,27,Tamanduateí,-23.5929,-46.5897,18,51671,20,53,22,NORMAL,9,2019-05-28,41,3388
9,1,Barra Funda,-23.5542,-46.6707,6,148763,24,45,31,NORMAL,11,2019-06-10,14,5560
22,38,Tatuapé,-23.5402,-46.5765,31,70349,19,35,25,NORMAL,21,2019-01-03,58,6123
26,43,Tamanduateí,-23.5929,-46.5897,13,52757,49,62,15,NORMAL,34,2019-12-11,49,3581
7,8,Sé,-23.55,-46.6333,6,191738,15,56,4,REABASTECER,9,2018-06-14,2,3764
37,9,Sé,-23.55,-46.6333,12,193862,47,6,10,REABASTECER,21,2018-07-25,21,3805
11,6,Tatuapé,-23.5402,-46.5765,13,70930,37,40,27,NORMAL,34,2019-11-29,50,6449
30,26,República,-23.5436,-46.6434,30,107106,21,4,28,REABASTECER,28,2018-02-17,26,6527
14,14,Sé,-23.55,-46.6333,7,194121,49,77,29,NORMAL,30,2019-04-02,65,4052
34,14,República,-23.5436,-46.6434,7,110186,51,45,8,NORMAL,14,2018-07-01,31,6661
21,17,Tatuapé,-23.5402,-46.5765,26,70502,49,40,16,REABASTECER,43,2019-03-01,3,6181
5,29,Sé,-23.55,-46.6333,36,192762,27,61,18,REABASTECER,25,2019-09-10,52,4210
29,13,Sé,-23.55,-46.6333,23,192625,61,7,38,REABASTECER,12,2019-09-15,19,4215
26,43,Sé,-23.55,-46.6333,17,193351,65,13,27,NORMAL,15,2019-10-29,25,4259
32,16,República,-23.5436,-46.6434,28,107768,3,35,21,REABASTECER,7,2019-05-21,30,6981
2,40,Tatuapé,-23.5402,-46.5765,43,69765,14,10,17,REABASTECER,20,2019-12-02,30,6452
36,20,República,-23.5436,-46.6434,23,107873,42,51,41,NORMAL,33,2018-01-24,46,6504
18,16,República,-23.5436,-46.6434,16,108343,10,66,20,NORMAL,17,2018-04-02,40,6572
40,18,Higienópolis-Mackenzie,-23.5488,-46.6519,35,92862,2,86,30,REABASTECER,4,2018-02-14,20,7244
40,9,Higienópolis-Mackenzie,-23.5488,-46.6519,17,89638,65,86,39,NORMAL,13,2018-04-06,10,7296
21,35,Brás,-23.5451,-46.6162,31,71957,43,17,43,NORMAL,39,2019-01-25,31,4705
4,1,Moema,-23.5489,-46.6388,39,17408,65,44,27,NORMAL,19,2018-06-05,7,16715
27,39,Trianon-Masp,-23.5634,-46.6544,37,43165,15,86,13,REABASTECER,4,2018-03-30,40,1530
34,10,Moema,-23.5489,-46.6388,4,18383,25,86,8,REABASTECER,38,2018-08-02,24,16772
32,20,Trianon-Masp,-23.5634,-46.6544,7,44966,38,53,37,NORMAL,25,2018-09-04,56,1684
37,22,Moema,-23.5489,-46.6388,43,17854,65,30,12,NORMAL,37,2018-11-21,17,16881
5,30,Trianon-Masp,-23.5634,-46.6544,30,43447,52,54,43,NORMAL,38,2018-09-12,65,1692
43,43,Consolação,-23.5581,-46.6606,7,114942,49,63,37,NORMAL,2,2018-05-06,58,2286
5,26,Consolação,-23.5581,-46.6606,34,112205,45,17,3,REABASTECER,16,2018-07-10,39,2350
29,7,Consolação,-23.5581,-46.6606,31,114794,24,36,38,REABASTECER,22,2018-08-15,9,2385
14,35,Paraíso,-23.57677,-46.63933,3,73522,45,76,28,REABASTECER,10,2018-03-21,18,81
1,6,Consolação,-23.5581,-46.6606,22,113454,11,86,10,REABASTECER,21,2018-12-22,65,2512
24,20,Paraíso,-23.57677,-46.63933,22,73189,30,76,11,NORMAL,43,2018-08-12,36,222
39,34,Paraíso,-23.57677,-46.63933,2,74046,42,1,26,REABASTECER,17,2018-08-19,55,229
43,43,Trianon-Masp,-23.5634,-46.6544,31,42078,31,75,39,NORMAL,12,2019-10-17,34,2087
17,43,Consolação,-23.5581,-46.6606,17,113663,43,74,43,NORMAL,32,2019-06-13,42,2683
43,26,Consolação,-23.5581,-46.6606,43,114112,22,20,26,NORMAL,10,2019-06-18,7,2688
23,16,Paraíso,-23.57677,-46.63933,10,70606,21,13,40,REABASTECER,36,2018-12-11,6,341
19,43,Consolação,-23.5581,-46.6606,33,114462,28,27,26,NORMAL,23,2018-01-16,13,2176
43,7,Consolação,-23.5581,-46.6606,20,114932,42,23,9,NORMAL,35,2018-03-09,60,2229
43,26,Consolação,-23.5581,-46.6606,41,113312,59,77,39,NORMAL,11,2018-04-25,65,2275
38,15,Consolação,-23.5581,-46.6606,17,114474,37,19,34,NORMAL,16,2018-07-01,49,2341
23,15,Tamanduateí,-23.5929,-46.5897,43,49881,59,40,43,NORMAL,39,2018-02-04,50,2914
31,35,Tamanduateí,-23.5929,-46.5897,43,51881,40,14,16,NORMAL,12,2018-03-12,38,2952
7,37,Paraíso,-23.57677,-46.63933,32,71340,48,65,26,NORMAL,20,2019-07-27,30,567
41,16,Consolação,-23.5581,-46.6606,37,112507,37,37,32,NORMAL,26,2018-10-08,26,2438
25,38,Consolação,-23.5581,-46.6606,15,111663,25,15,20,NORMAL,37,2019-01-09,25,2529
39,38,Tamanduateí,-23.5929,-46.5897,32,52846,50,86,9,NORMAL,29,2018-08-14,28,3104
15,27,Consolação,-23.5581,-46.6606,43,111806,23,56,20,NORMAL,33,2019-09-04,17,2764
22,18,Tamanduateí,-23.5929,-46.5897,17,52826,38,86,33,REABASTECER,23,2019-05-14,8,3374
12,29,Tamanduateí,-23.5929,-46.5897,23,50083,30,61,26,NORMAL,11,2019-05-27,50,3387
15,16,Sé,-23.55,-46.6333,41,195268,14,86,43,NORMAL,16,2018-04-07,6,3697
30,38,Sé,-23.55,-46.6333,25,191801,41,32,20,NORMAL,36,2018-04-13,23,3703
32,18,Tamanduateí,-23.5929,-46.5897,24,52764,18,15,28,NORMAL,28,2019-01-03,65,3243
35,5,Sé,-23.55,-46.6333,8,192834,39,86,4,REABASTECER,15,2018-07-26,16,3806
29,25,Sé,-23.55,-46.6333,6,194108,36,70,20,NORMAL,19,2018-09-20,13,3860
10,12,Trianon-Masp,-23.5634,-46.6544,26,44527,22,46,19,NORMAL,29,2018-02-20,52,1490
36,18,Sé,-23.55,-46.6333,20,191739,61,25,12,NORMAL,28,2019-02-14,65,4004
22,19,Sé,-23.55,-46.6333,12,192744,55,0,34,REABASTECER,38,2019-03-30,18,4050
21,42,Tamanduateí,-23.5929,-46.5897,9,53106,52,4,17,NORMAL,6,2019-10-06,45,3516
20,24,Sé,-23.55,-46.6333,23,193903,29,42,34,NORMAL,32,2019-08-26,10,4196
43,36,Sé,-23.55,-46.6333,34,194057,26,78,19,NORMAL,43,2019-12-26,43,4316
34,28,Sé,-23.55,-46.6333,8,194684,46,79,23,NORMAL,24,2018-09-19,22,3859
36,29,Trianon-Masp,-23.5634,-46.6544,32,45405,40,14,43,REABASTECER,37,2019-07-26,9,2006
13,37,Sé,-23.55,-46.6333,25,192085,45,31,20,NORMAL,34,2019-04-24,46,4074
16,21,Sé,-23.55,-46.6333,13,194056,48,86,21,NORMAL,31,2019-05-14,20,4094
29,39,Brás,-23.5451,-46.6162,37,72580,55,39,8,NORMAL,43,2019-01-23,43,4703
2,30,Consolação,-23.5581,-46.6606,16,111819,40,86,3,NORMAL,22,2018-07-21,34,2361
39,30,Barra Funda,-23.5542,-46.6707,19,147231,25,21,6,NORMAL,38,2018-02-12,55,5082
24,28,Brás,-23.5451,-46.6162,17,71815,45,50,26,REABASTECER,2,2018-11-12,9,4632
22,7,Barra Funda,-23.5542,-46.6707,27,148761,45,15,15,NORMAL,14,2018-06-06,30,5196
6,24,Brás,-23.5451,-46.6162,12,71317,23,49,12,NORMAL,16,2018-12-18,22,4668
9,37,Brás,-23.5451,-46.6162,32,72447,22,51,17,NORMAL,25,2018-12-27,29,4677
43,22,Barra Funda,-23.5542,-46.6707,5,147604,13,58,27,REABASTECER,28,2018-07-16,65,5236
5,43,Brás,-23.5451,-46.6162,37,74231,27,58,25,NORMAL,31,2019-02-08,12,4718
24,25,Consolação,-23.5581,-46.6606,43,112032,46,54,37,NORMAL,40,2019-09-22,31,2782
16,30,Barra Funda,-23.5542,-46.6707,10,150326,16,24,19,NORMAL,21,2018-11-25,19,5365
29,17,Consolação,-23.5581,-46.6606,24,111811,56,17,22,NORMAL,3,2019-11-25,52,2845
8,21,Tamanduateí,-23.5929,-46.5897,36,53128,48,77,28,REABASTECER,25,2018-02-18,7,2928
19,18,República,-23.5436,-46.6434,43,108006,37,32,28,NORMAL,23,2019-10-02,52,7112
9,31,República,-23.5436,-46.6434,10,109595,55,75,26,NORMAL,27,2018-12-07,30,6817
29,29,República,-23.5436,-46.6434,15,108441,58,39,41,NORMAL,35,2019-10-10,65,7120
16,43,República,-23.5436,-46.6434,21,109247,4,64,28,REABASTECER,33,2018-12-26,44,6836
11,21,República,-23.5436,-46.6434,39,110074,40,3,9,NORMAL,23,2019-11-29,53,7169
7,19,República,-23.5436,-46.6434,13,107353,43,86,8,NORMAL,40,2018-03-04,46,6544
21,24,República,-23.5436,-46.6434,43,110966,65,68,24,NORMAL,22,2019-02-11,25,6881
43,2,Brigadeiro,-23.5683,-46.6482,10,48850,18,55,32,REABASTECER,43,2019-06-01,13,1231
43,35,Campo Belo,-23.6188,-46.6823,9,23552,50,86,13,REABASTECER,17,2019-10-12,5,15762
18,36,Trianon-Masp,-23.5634,-46.6544,40,43081,30,86,22,NORMAL,15,2019-07-10,51,1990
10,21,Brigadeiro,-23.5683,-46.6482,38,47004,48,30,29,NORMAL,22,2019-09-20,61,1340
5,30,Brigadeiro,-23.5683,-46.6482,9,47866,48,55,20,NORMAL,28,2019-10-13,29,1363
19,27,Brigadeiro,-23.5683,-46.6482,15,47579,62,28,19,REABASTECER,3,2019-11-13,65,1393
35,17,Trianon-Masp,-23.5634,-46.6544,11,41914,36,86,27,NORMAL,20,2018-04-08,47,1538
9,12,Trianon-Masp,-23.5634,-46.6544,37,42098,65,77,37,NORMAL,29,2018-04-26,46,1556
4,11,Eucaliptos,-23.61,-46.6686,3,22379,9,76,16,NORMAL,18,2019-02-12,7,16242
33,39,Eucaliptos,-23.61,-46.6686,18,23590,37,78,15,REABASTECER,5,2019-03-08,35,16268
39,16,Consolação,-23.5581,-46.6606,8,112869,51,86,10,NORMAL,36,2019-03-05,17,2585
18,37,Eucaliptos,-23.61,-46.6686,24,23236,30,7,6,NORMAL,27,2019-10-02,65,16472
43,15,Eucaliptos,-23.61,-46.6686,13,24650,46,86,8,REABASTECER,43,2019-10-21,5,16491
10,19,Moema,-23.5489,-46.6388,14,20274,10,37,35,REABASTECER,24,2018-06-14,5,16724
18,23,Moema,-23.5489,-46.6388,8,18170,47,16,5,REABASTECER,27,2018-07-13,29,16753
10,17,Moema,-23.5489,-46.6388,37,17186,38,76,35,REABASTECER,15,2018-07-16,9,16756
40,32,Tamanduateí,-23.5929,-46.5897,6,49688,42,74,28,REABASTECER,25,2018-06-26,45,3056
23,38,Tamanduateí,-23.5929,-46.5897,26,51753,42,20,34,NORMAL,9,2018-08-29,53,3119
5,15,Paraíso,-23.57677,-46.63933,37,73420,14,39,38,REABASTECER,21,2018-05-09,19,129
20,20,Tamanduateí,-23.5929,-46.5897,26,52013,39,34,25,NORMAL,23,2018-01-06,33,2886
13,3,Paraíso,-23.57677,-46.63933,27,70495,19,51,37,REABASTECER,2,2019-02-28,18,418
29,30,Sé,-23.55,-46.6333,13,195136,43,40,16,NORMAL,31,2018-04-03,43,3693
37,13,Paraíso,-23.57677,-46.63933,19,71738,6,37,11,NORMAL,26,2019-03-27,8,447
33,33,Tamanduateí,-23.5929,-46.5897,22,53071,42,60,43,NORMAL,22,2018-08-16,16,3106
40,20,Sé,-23.55,-46.6333,16,194504,56,13,23,NORMAL,26,2018-09-07,37,3847
23,11,Tamanduateí,-23.5929,-46.5897,43,51851,26,86,23,NORMAL,40,2019-04-01,46,3331
5,38,Tamanduateí,-23.5929,-46.5897,27,50359,5,33,2,REABASTECER,19,2019-04-06,10,3336
13,18,Sé,-23.55,-46.6333,13,194110,43,73,18,NORMAL,27,2019-05-15,10,4095
39,35,Brigadeiro,-23.5683,-46.6482,16,49901,27,38,13,NORMAL,8,2018-06-22,8,892
30,32,Sé,-23.55,-46.6333,33,192017,45,69,2,REABASTECER,4,2019-08-23,26,4193
22,8,Brigadeiro,-23.5683,-46.6482,8,48475,65,31,24,NORMAL,31,2018-08-18,22,948
22,6,Brás,-23.5451,-46.6162,22,72941,58,63,11,NORMAL,30,2018-02-08,65,4358
31,24,Brás,-23.5451,-46.6162,43,70758,13,62,19,NORMAL,43,2018-02-16,11,4366
7,16,Brás,-23.5451,-46.6162,35,73741,65,74,16,NORMAL,23,2018-05-14,65,4454
13,38,Sé,-23.55,-46.6333,31,191673,10,39,43,NORMAL,43,2018-09-14,54,3854
26,32,Brás,-23.5451,-46.6162,11,70545,53,31,41,NORMAL,7,2018-08-08,39,4538
29,32,Sé,-23.55,-46.6333,25,193331,55,13,23,NORMAL,29,2018-12-09,59,3939
18,41,Sé,-23.55,-46.6333,39,193140,45,14,30,NORMAL,33,2019-03-21,6,4041
22,27,Brigadeiro,-23.5683,-46.6482,9,48317,65,51,33,NORMAL,43,2019-11-01,36,1381
16,20,Brás,-23.5451,-46.6162,14,70499,27,32,41,NORMAL,41,2019-02-28,65,4738
7,18,Brigadeiro,-23.5683,-46.6482,26,47947,65,70,7,NORMAL,7,2019-12-06,28,1416
20,3,Brigadeiro,-23.5683,-46.6482,31,47615,33,73,28,NORMAL,23,2019-12-23,58,1433
21,36,Trianon-Masp,-23.5634,-46.6544,26,45392,32,41,21,NORMAL,24,2018-01-06,24,1446
25,37,Trianon-Masp,-23.5634,-46.6544,43,44219,35,57,33,NORMAL,34,2018-02-28,60,1498
15,18,Sé,-23.55,-46.6333,29,192639,45,68,20,NORMAL,17,2019-11-22,65,4282
29,39,Trianon-Masp,-23.5634,-46.6544,11,44210,54,54,43,NORMAL,11,2018-07-01,55,1621
26,43,Trianon-Masp,-23.5634,-46.6544,12,42860,23,86,23,REABASTECER,43,2018-07-25,8,1645
4,10,Trianon-Masp,-23.5634,-46.6544,14,42756,62,20,8,REABASTECER,39,2018-08-20,33,1670
14,37,Trianon-Masp,-23.5634,-46.6544,28,42144,8,32,19,NORMAL,6,2018-08-28,37,1678
43,39,Brás,-23.5451,-46.6162,31,71028,44,8,41,REABASTECER,12,2018-03-25,6,4405
43,43,Trianon-Masp,-23.5634,-46.6544,37,42113,39,86,32,NORMAL,26,2018-10-05,33,1715
28,22,Trianon-Masp,-23.5634,-46.6544,28,45847,21,26,30,NORMAL,29,2018-11-25,41,1765
17,10,Trianon-Masp,-23.5634,-46.6544,15,43473,65,86,20,NORMAL,14,2018-11-28,20,1768
24,29,Brás,-23.5451,-46.6162,6,73132,3,75,12,REABASTECER,24,2018-07-25,56,4525
16,7,Brás,-23.5451,-46.6162,4,70711,11,16,30,NORMAL,33,2018-09-23,6,4583
24,43,Brás,-23.5451,-46.6162,8,74065,29,86,30,NORMAL,8,2018-10-21,20,4611
35,17,Barra Funda,-23.5542,-46.6707,8,149458,27,25,43,REABASTECER,18,2018-08-16,7,5266
37,13,Brás,-23.5451,-46.6162,34,74067,63,39,43,REABASTECER,4,2018-11-30,21,4650
6,39,Barra Funda,-23.5542,-46.6707,22,150367,40,20,40,REABASTECER,41,2018-11-09,59,5349
15,17,Trianon-Masp,-23.5634,-46.6544,17,44348,18,52,26,NORMAL,20,2019-08-01,36,2011
17,11,Brás,-23.5451,-46.6162,30,72312,43,78,37,NORMAL,16,2019-08-28,61,4918
31,4,Paraíso,-23.57677,-46.63933,24,73832,54,86,11,REABASTECER,38,2018-11-06,58,306
25,40,Moema,-23.5489,-46.6388,12,20613,7,53,25,REABASTECER,26,2018-04-21,58,16671
22,23,São Judas,-23.6255,-46.6411,31,16973,2,32,27,REABASTECER,37,2018-02-05,24,12995
37,31,Moema,-23.5489,-46.6388,17,17618,2,22,9,REABASTECER,30,2018-10-18,55,16848
14,31,São Judas,-23.6255,-46.6411,11,15083,34,77,25,NORMAL,14,2018-07-11,1,13151
37,41,São Judas,-23.6255,-46.6411,27,17182,52,14,1,REABASTECER,11,2018-10-22,25,13252
19,23,Paraíso,-23.57677,-46.63933,8,71745,21,3,8,REABASTECER,8,2018-01-09,4,9
43,23,São Judas,-23.6255,-46.6411,13,14206,13,24,43,NORMAL,5,2019-01-15,38,13335
10,42,São Judas,-23.6255,-46.6411,37,17002,21,17,16,NORMAL,21,2019-02-03,56,13353
18,6,Paraíso,-23.57677,-46.63933,43,73372,37,22,30,REABASTECER,7,2018-02-21,41,51
33,9,Paraíso,-23.57677,-46.63933,20,72240,9,25,43,NORMAL,26,2018-03-17,45,77
22,16,São Judas,-23.6255,-46.6411,8,13859,63,35,9,NORMAL,26,2019-04-12,32,13422
26,21,Paraíso,-23.57677,-46.63933,43,70824,19,64,3,REABASTECER,11,2018-06-29,65,179
39,23,Brigadeiro,-23.5683,-46.6482,8,48310,18,42,30,NORMAL,12,2019-02-14,46,1124
3,38,Paraíso,-23.57677,-46.63933,39,73725,26,33,26,NORMAL,41,2019-04-15,19,465
13,27,Brigadeiro,-23.5683,-46.6482,23,49358,39,79,43,REABASTECER,6,2019-06-08,29,1238
4,17,Brigadeiro,-23.5683,-46.6482,43,47090,53,86,25,REABASTECER,23,2019-10-02,45,1352
2,12,Paraíso,-23.57677,-46.63933,11,70558,10,57,22,NORMAL,10,2019-11-22,5,682
32,24,Paraíso,-23.57677,-46.63933,19,71914,44,48,10,NORMAL,16,2019-12-19,14,709
28,6,Vila Mariana,-23.5895,-46.6346,14,24256,21,73,12,NORMAL,35,2018-12-10,28,14020
28,11,Trianon-Masp,-23.5634,-46.6544,2,44366,20,52,14,NORMAL,13,2018-04-11,27,1541
28,36,Vila Mariana,-23.5895,-46.6346,30,22474,29,86,25,NORMAL,32,2019-05-10,42,14170
31,25,Trianon-Masp,-23.5634,-46.6544,26,43132,28,78,35,NORMAL,15,2018-08-14,65,1664
43,16,Vila Mariana,-23.5895,-46.6346,35,22609,48,56,5,NORMAL,5,2019-06-19,28,14209
17,33,Brigadeiro,-23.5683,-46.6482,26,46827,52,52,22,NORMAL,12,2018-09-22,54,982
43,41,Vila Mariana,-23.5895,-46.6346,39,23550,62,21,38,REABASTECER,4,2019-09-22,44,14302
21,43,Trianon-Masp,-23.5634,-46.6544,28,44790,25,27,36,NORMAL,29,2019-05-03,6,1923
43,17,Brooklin,-23.6263,-46.6878,37,29901,26,67,12,NORMAL,23,2018-02-09,48,14439
10,31,Consolação,-23.5581,-46.6606,30,111996,35,61,6,REABASTECER,35,2018-03-30,46,2250
18,38,Trianon-Masp,-23.5634,-46.6544,20,44383,65,46,31,NORMAL,18,2018-05-17,34,1577
6,43,Consolação,-23.5581,-46.6606,38,113605,6,86,24,REABASTECER,20,2019-03-23,39,2603
29,10,Campo Belo,-23.6188,-46.6823,43,25677,32,58,5,REABASTECER,8,2018-02-26,42,15176
31,43,Campo Belo,-23.6188,-46.6823,37,24602,30,38,17,NORMAL,16,2018-03-15,30,15195
6,35,Trianon-Masp,-23.5634,-46.6544,38,45138,65,45,12,NORMAL,10,2019-07-23,28,2003
20,20,Trianon-Masp,-23.5634,-46.6544,23,45167,23,64,30,NORMAL,22,2019-07-30,46,2010
13,43,Campo Belo,-23.6188,-46.6823,26,26381,39,67,38,NORMAL,43,2018-05-14,53,15254
1,15,Campo Belo,-23.6188,-46.6823,5,25866,15,16,24,REABASTECER,29,2018-06-08,21,15278
43,37,Tamanduateí,-23.5929,-46.5897,24,50462,46,73,34,NORMAL,37,2018-07-04,65,3064
35,7,Campo Belo,-23.6188,-46.6823,10,25327,36,30,37,NORMAL,12,2019-05-24,37,15624
12,6,Tamanduateí,-23.5929,-46.5897,20,53131,65,53,19,NORMAL,13,2019-01-18,23,3258
20,7,Tamanduateí,-23.5929,-46.5897,22,53083,42,4,43,REABASTECER,17,2019-06-28,22,3418
29,19,Tamanduateí,-23.5929,-46.5897,38,50420,6,15,9,REABASTECER,30,2019-07-06,26,3426
26,10,Consolação,-23.5581,-46.6606,17,113805,46,32,24,NORMAL,2,2019-07-21,49,2721
43,43,Sé,-23.55,-46.6333,23,192818,62,74,33,NORMAL,43,2018-03-29,65,3689
25,19,Sé,-23.55,-46.6333,7,193479,65,29,13,NORMAL,21,2018-11-28,15,3928
26,13,Eucaliptos,-23.61,-46.6686,37,25543,41,7,31,REABASTECER,16,2019-08-08,19,16418
43,3,Tamanduateí,-23.5929,-46.5897,22,52410,33,86,43,REABASTECER,43,2019-02-02,65,3272
41,8,Tamanduateí,-23.5929,-46.5897,7,51490,32,5,43,REABASTECER,6,2019-03-05,51,3305
20,15,Sé,-23.55,-46.6333,8,192969,52,44,27,NORMAL,43,2019-05-02,49,4082
12,2,Sé,-23.55,-46.6333,33,193068,37,86,8,NORMAL,14,2019-06-18,34,4128
31,12,Pinheiros,-23.5664,-46.703,19,76884,26,59,29,REABASTECER,3,2019-01-20,46,9020
43,20,Pinheiros,-23.5664,-46.703,11,78797,58,78,4,NORMAL,31,2019-03-22,7,9082
37,33,São Joaquim,-23.5618,-46.6389,31,35342,41,86,31,NORMAL,37,2019-05-10,42,12730
41,39,Pinheiros,-23.5664,-46.703,32,78303,65,78,37,NORMAL,30,2019-04-27,14,9117
25,27,Ana Rosa,-23.5813,-46.6383,19,66878,40,27,31,NORMAL,43,2019-12-02,22,12212
32,23,São Joaquim,-23.5618,-46.6389,27,32912,65,52,43,NORMAL,43,2019-10-07,34,12877
6,16,Pinheiros,-23.5664,-46.703,26,77463,8,32,22,REABASTECER,10,2019-11-21,43,9321
34,18,São Joaquim,-23.5618,-46.6389,5,34946,59,32,15,REABASTECER,43,2018-03-27,49,12327
43,24,São Judas,-23.6255,-46.6411,33,17402,18,79,43,NORMAL,6,2018-01-21,61,12981
33,14,São Joaquim,-23.5618,-46.6389,3,34952,48,45,37,NORMAL,43,2018-11-10,50,12550
25,36,Butantã,-23.5844,-46.7252,19,65335,39,9,13,NORMAL,23,2018-09-04,21,9604
43,15,Butantã,-23.5844,-46.7252,7,64609,14,45,36,NORMAL,43,2018-09-09,61,9609
38,24,São Joaquim,-23.5618,-46.6389,21,33206,7,18,11,NORMAL,31,2019-02-27,45,12657
16,41,São Joaquim,-23.5618,-46.6389,12,33882,56,30,43,NORMAL,11,2019-03-22,60,12682
26,38,São Joaquim,-23.5618,-46.6389,30,33730,21,28,13,NORMAL,23,2019-04-09,65,12699
25,38,Butantã,-23.5844,-46.7252,23,66758,14,31,28,NORMAL,29,2019-01-22,35,9742
38,9,Butantã,-23.5844,-46.7252,43,67288,65,9,29,NORMAL,22,2019-02-03,28,9753
31,29,São Joaquim,-23.5618,-46.6389,5,34080,65,13,5,NORMAL,6,2019-09-05,0,12845
43,10,São Joaquim,-23.5618,-46.6389,24,33402,35,34,12,REABASTECER,35,2019-12-04,8,12934
29,22,São Judas,-23.6255,-46.6411,9,14322,6,19,32,REABASTECER,31,2019-10-26,23,13616
27,29,Butantã,-23.5844,-46.7252,29,67098,19,86,9,NORMAL,14,2019-11-04,54,10024
